event_slug,timestamp_ms,timestamp_iso,timestamp_est,event_type,price,size,size_change,side,best_bid,best_ask,token_id,is_winning_token,outcome,time_since_ticker_change_ms,ticker_changed_recently,old_tick_size,new_tick_size,market_resolved,error_message
btc-15min-up-or-down-04:30,1771581149944,2026-02-20 09:52:29,2026-02-20 04:52:29,market_resolved,,,,,,,18419402196131056378420768136860061385752839169411851749988640408911115760247,true,Down,421430,false,,,true,
eth-15min-up-or-down-04:30,1771581150184,2026-02-20 09:52:30,2026-02-20 04:52:30,market_resolved,,,,,,,19888643628272992128458100538446595756872902746628098905410520759751255131192,true,Up,,false,,,true,
eth-15min-up-or-down-04:30,1771581150184,2026-02-20 09:52:30,2026-02-20 04:52:30,market_resolved,,,,,,,10352637741154571034674666881466748803800238225077397926097854918687871292271,false,Down,,false,,,true,
btc-15min-up-or-down-04:45,1771581380758,2026-02-20 09:56:20,2026-02-20 04:56:20,ask,0.99,6540.46,6540.46,ASK,0.93,0.95,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581380779,2026-02-20 09:56:20,2026-02-20 04:56:20,ask,0.99,6395.46,31.0,ASK,0.93,0.95,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581380789,2026-02-20 09:56:20,2026-02-20 04:56:20,ask,0.99,6408.46,13.0,ASK,0.93,0.95,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581380845,2026-02-20 09:56:20,2026-02-20 04:56:20,ask,0.99,6413.46,5.0,ASK,0.94,0.95,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581383697,2026-02-20 09:56:23,2026-02-20 04:56:23,ask,0.99,6566.46,176.0,ASK,0.95,0.97,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581383851,2026-02-20 09:56:23,2026-02-20 04:56:23,ask,0.99,6579.46,13.0,ASK,0.95,0.97,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581383867,2026-02-20 09:56:23,2026-02-20 04:56:23,ask,0.99,6584.46,5.0,ASK,0.95,0.97,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581384208,2026-02-20 09:56:24,2026-02-20 04:56:24,ask,0.99,5369.46,5.0,ASK,0.96,0.97,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581385285,2026-02-20 09:56:25,2026-02-20 04:56:25,ask,0.99,5357.83,6.369999999999891,ASK,0.96,0.97,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581385332,2026-02-20 09:56:25,2026-02-20 04:56:25,ask,0.99,5362.83,5.0,ASK,0.96,0.97,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581387886,2026-02-20 09:56:27,2026-02-20 04:56:27,ask,0.99,5373.57,15.739999999999782,ASK,0.95,0.96,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581401649,2026-02-20 09:56:41,2026-02-20 04:56:41,ask,0.99,5473.57,100.0,ASK,0.96,0.97,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581410403,2026-02-20 09:56:50,2026-02-20 04:56:50,ask,0.99,5736.17,267.60000000000036,ASK,0.96,0.97,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581414167,2026-02-20 09:56:54,2026-02-20 04:56:54,ask,0.99,5741.17,5.0,ASK,0.96,0.97,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581419122,2026-02-20 09:56:59,2026-02-20 04:56:59,ask,0.99,5302.57,5.0,ASK,0.96,0.97,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581422370,2026-02-20 09:57:02,2026-02-20 04:57:02,ask,0.99,5219.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581422434,2026-02-20 09:57:02,2026-02-20 04:57:02,ask,0.99,5232.24,13.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581422607,2026-02-20 09:57:02,2026-02-20 04:57:02,ask,0.99,5237.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581423218,2026-02-20 09:57:03,2026-02-20 04:57:03,ask,0.99,5242.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581423632,2026-02-20 09:57:03,2026-02-20 04:57:03,ask,0.99,5247.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581423997,2026-02-20 09:57:04,2026-02-20 04:57:04,ask,0.99,5160.24,13.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581424512,2026-02-20 09:57:04,2026-02-20 04:57:04,ask,0.99,5165.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581425031,2026-02-20 09:57:05,2026-02-20 04:57:05,ask,0.99,5170.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581425550,2026-02-20 09:57:05,2026-02-20 04:57:05,ask,0.99,5175.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581425918,2026-02-20 09:57:05,2026-02-20 04:57:05,ask,0.99,5180.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581426589,2026-02-20 09:57:06,2026-02-20 04:57:06,ask,0.99,5185.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581426812,2026-02-20 09:57:06,2026-02-20 04:57:06,ask,0.99,5190.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581427632,2026-02-20 09:57:07,2026-02-20 04:57:07,ask,0.99,5195.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581428089,2026-02-20 09:57:08,2026-02-20 04:57:08,ask,0.99,5200.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581428334,2026-02-20 09:57:08,2026-02-20 04:57:08,ask,0.99,5205.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581429224,2026-02-20 09:57:09,2026-02-20 04:57:09,ask,0.99,5202.24,10.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581429643,2026-02-20 09:57:09,2026-02-20 04:57:09,ask,0.99,5215.24,13.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581429849,2026-02-20 09:57:09,2026-02-20 04:57:09,ask,0.99,5220.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581430751,2026-02-20 09:57:10,2026-02-20 04:57:10,ask,0.99,5225.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581431127,2026-02-20 09:57:11,2026-02-20 04:57:11,ask,0.99,5230.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581431550,2026-02-20 09:57:11,2026-02-20 04:57:11,ask,0.99,6195.24,965.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581432305,2026-02-20 09:57:12,2026-02-20 04:57:12,ask,0.99,6200.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581432441,2026-02-20 09:57:12,2026-02-20 04:57:12,ask,0.99,6205.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581433357,2026-02-20 09:57:13,2026-02-20 04:57:13,ask,0.99,6210.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581433874,2026-02-20 09:57:13,2026-02-20 04:57:13,ask,0.99,6215.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581434389,2026-02-20 09:57:14,2026-02-20 04:57:14,ask,0.99,6220.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581434920,2026-02-20 09:57:14,2026-02-20 04:57:14,ask,0.99,6225.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581435430,2026-02-20 09:57:15,2026-02-20 04:57:15,ask,0.99,6230.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581435953,2026-02-20 09:57:15,2026-02-20 04:57:15,ask,0.99,6235.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581436309,2026-02-20 09:57:16,2026-02-20 04:57:16,ask,0.99,6240.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
btc-15min-up-or-down-04:45,1771581436991,2026-02-20 09:57:16,2026-02-20 04:57:16,ask,0.99,6245.24,5.0,ASK,0.97,0.98,101316740113365240689092942620402834847559522552987851988368342492106202516334,false,Up,-1,false,,,false,
